brazil,congo_forest,day,month,year
6932,1020,15b,8,1991
7570,720,15a,9,1991
8770,800,15b,9,1991
8530,800,15a,10,1991
8450,750,15b,10,1991
8170,840,15a,11,1991
7362,850,15b,11,1991
7940,780,15a,12,1991
8330,850,15b,12,1991
7130,690,15a,1,1992
4800,700,15b,1,1992
5770,740,15a,2,1992
3880,790,15b,2,1992
3980,850,15a,3,1992
3890,790,15b,3,1992
4520,860,15a,4,1992
4860,800,15b,4,1992
5450,770,15a,5,1992
4540,780,15b,5,1992
6500,750,15a,6,1992
3402,780,15b,6,1992
6120,850,15a,7,1992
7200,900,15b,7,1992
7130,950,15a,8,1992
8000,910,15b,8,1992
6412,880,15a,9,1992
7572,800,15b,9,1992
7322,820,15a,10,1992
8760,940,15b,10,1992
8270,860,15a,11,1992
8470,860,15b,11,1992
7970,870,15a,12,1992
7112,760,15b,12,1992
6300,710,15a,1,1993
5840,770,15b,1,1993
5070,730,15a,2,1993
3840,780,15b,2,1993
4000,760,15a,3,1993
4140,790,15b,3,1993
4110,830,15a,4,1993
3760,810,15b,4,1993
4990,730,15a,5,1993
3382,900,15b,5,1993
4240,950,15a,6,1993
6850,970,15b,6,1993
4340,880,15a,7,1993
7580,950,15b,7,1993
6042,890,15a,8,1993
8150,1120,15b,8,1993
7780,870,15a,9,1993
8690,850,15b,9,1993
7522,800,15a,10,1993
7482,810,15b,10,1993
8500,870,15a,11,1993
7730,720,15b,11,1993
7540,640,15a,12,1993
6582,660,15b,12,1993
8430,640,15a,1,1994
7330,620,15b,1,1994
6210,720,15a,2,1994
4970,820,15b,2,1994
4490,840,15a,3,1994
4050,880,15b,3,1994
3080,890,15a,4,1994
4320,750,15b,4,1994
4780,840,15a,5,1994
4730,960,15b,5,1994
6420,760,15a,6,1994
5640,770,15b,6,1994
3760,920,15a,7,1994
5710,870,15b,7,1994
6810,1020,15a,8,1994
6522,850,15b,8,1994
7860,810,15a,9,1994
7840,900,15b,9,1994
7632,870,15a,10,1994
8290,910,15b,10,1994
7172,870,15a,11,1994
6262,830,15b,11,1994
6362,800,15a,12,1994
7970,590,15b,12,1994
8630,660,15a,1,1995
7520,740,15b,1,1995
4370,760,15a,2,1995
4000,820,15b,2,1995
2680,750,15a,3,1995
3950,840,15b,3,1995
3990,880,15a,4,1995
5370,970,15b,4,1995
6450,900,15a,5,1995
4580,790,15b,5,1995
6850,870,15a,6,1995
5280,830,15b,6,1995
4960,850,15a,7,1995
6990,860,15b,7,1995
7620,860,15a,8,1995
7530,890,15b,8,1995
8160,950,15a,9,1995
8630,830,15b,9,1995
8770,760,15a,10,1995
8900,860,15b,10,1995
8720,760,15a,11,1995
7372,770,15b,11,1995
8060,610,15a,12,1995
6352,680,15b,12,1995
9270,860,15a,1,1996
7600,830,15b,1,1996
6850,710,15a,2,1996
5460,760,15b,2,1996
4950,850,15a,3,1996
5720,710,15b,3,1996
3780,800,15a,4,1996
4940,830,15b,4,1996
4400,810,15a,5,1996
4420,830,15b,5,1996
3950,830,15a,6,1996
4140,920,15b,6,1996
4340,880,15a,7,1996
6660,810,15b,7,1996
5552,1000,15a,8,1996
8650,680,15b,8,1996
8590,800,15a,9,1996
8020,920,15b,9,1996
8520,850,15a,10,1996
8400,850,15b,10,1996
8270,830,15a,11,1996
8040,760,15b,11,1996
4832,790,15a,12,1996
6962,760,15b,12,1996
9960,640,15a,1,1997
8160,740,15b,1,1997
7390,740,15a,2,1997
3002,840,15b,2,1997
3691,870,15a,3,1997
4380,920,15b,3,1997
4750,760,15a,4,1997
6020,780,15b,4,1997
6740,880,15a,5,1997
6400,900,15b,5,1997
7740,970,15a,6,1997
2992,950,15b,6,1997
7120,700,15a,7,1997
8090,820,15b,7,1997
7740,980,15a,8,1997
8370,1050,15b,8,1997
7950,770,15a,9,1997
8960,750,15b,9,1997
8380,930,15a,10,1997
8120,980,15b,10,1997
8640,730,15a,11,1997
6802,670,15b,11,1997
8480,690,15a,12,1997
8750,720,15b,12,1997
5740,810,15a,1,1998
7080,790,15b,1,1998
6930,830,15a,2,1998
3890,790,15b,2,1998
3210,740,15a,3,1998
3950,740,15b,3,1998
6950,750,15a,4,1998
5190,840,15b,4,1998
6290,710,15a,5,1998
7690,780,15b,5,1998
5880,910,15a,6,1998
5960,900,15b,6,1998
4460,790,15a,7,1998
7110,840,15b,7,1998
8620,1080,15a,8,1998
7820,1050,15b,8,1998
8170,1080,15a,9,1998
8080,850,15b,9,1998
8470,810,15a,10,1998
8440,890,15b,10,1998
8610,840,15a,11,1998
6412,890,15b,11,1998
7102,700,15a,12,1998
7690,670,15b,12,1998
9530,670,15a,1,1999
7850,730,15b,1,1999
7220,710,15a,2,1999
3162,700,15b,2,1999
4910,880,15a,3,1999
3990,990,15b,3,1999
3760,850,15a,4,1999
6770,850,15b,4,1999
3990,840,15a,5,1999
3950,900,15b,5,1999
6950,860,15a,6,1999
6370,780,15b,6,1999
6170,950,15a,7,1999
5800,780,15b,7,1999
6572,980,15a,8,1999
8250,930,15b,8,1999
8670,910,15a,9,1999
7960,1010,15b,9,1999
8500,940,15a,10,1999
7252,840,15b,10,1999
8250,830,15a,11,1999
8250,850,15b,11,1999
7420,720,15a,12,1999
7300,720,15b,12,1999
5880,620,15a,1,2000
7410,620,15b,1,2000
6420,670,15a,2,2000
4620,880,15b,2,2000
5250,800,15a,3,2000
4270,830,15b,3,2000
4430,830,15a,4,2000
3840,820,15b,4,2000
4590,990,15a,5,2000
7500,880,15b,5,2000
7200,880,15a,6,2000
5340,810,15b,6,2000
7790,920,15a,7,2000
6960,850,15b,7,2000
8430,940,15a,8,2000
7920,870,15b,8,2000
8560,830,15a,9,2000
8840,890,15b,9,2000
8010,880,15a,10,2000
7392,720,15b,10,2000
7780,880,15a,11,2000
8200,890,15b,11,2000
7850,830,15a,12,2000
5682,590,15b,12,2000
8260,620,15a,1,2001
6912,730,15b,1,2001
7450,660,15a,2,2001
5860,730,15b,2,2001
3722,760,15a,3,2001
3310,880,15b,3,2001
5870,940,15a,4,2001
3710,910,15b,4,2001
6330,990,15a,5,2001
5600,820,15b,5,2001
5990,810,15a,6,2001
5920,890,15b,6,2001
6710,980,15a,7,2001
7870,830,15b,7,2001
7300,1010,15a,8,2001
8500,880,15b,8,2001
7160,840,15a,9,2001
8400,900,15b,9,2001
8050,820,15a,10,2001
7600,880,15b,10,2001
7870,870,15a,11,2001
7870,840,15b,11,2001
6940,770,15a,12,2001
7350,590,15b,12,2001
7380,590,15a,1,2002
7120,690,15b,1,2002
5672,750,15a,2,2002
